id_venda,id_pedido,cpf_cliente,data_venda,data_entrega,produto_id,produto_nome,categoria_produto,quantidade,valor_unitario,desconto,valor_total,custo,canal_venda,status_venda,forma_pagamento,parcelas,vendedor_id,loja_id
1,PED-20260109-000001,22091782157,2026-01-09T04:35:57.682864,2026-01-13T04:35:57.682864,ELET-005,iPad Air 5ª Geração,Eletrônicos,1,7485.74,0.0,7485.74,5124.53,LOJA_FISICA,CONCLUIDA,CARTAO_DEBITO,1,VND025,LOJA14
2,PED-20250817-000002,84515949306,2025-08-17T06:14:57.682864,2025-08-22T06:14:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,468.4,0.0,468.4,276.6,LOJA_FISICA,CONCLUIDA,CARTAO_DEBITO,1,VND021,LOJA16
3,PED-20250618-000003,10594569311,2025-06-18T09:17:57.682864,,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,6675.12,0.0,6675.12,3091.42,LOJA_FISICA,CANCELADA,PIX,1,VND029,LOJA12
4,PED-20250609-000004,16227236357,2025-06-09T09:54:57.682864,2025-06-19T09:54:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1441.23,144.12,1297.11,702.75,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,2,VND005,
5,PED-20250520-000005,35230461659,2025-05-20T12:45:57.682864,,VEST-001,Camiseta Polo Masculina,Vestuário,1,183.18,0.0,183.18,133.28,TELEVENDAS,CANCELADA,CARTAO_CREDITO,1,VND032,
6,PED-20250920-000006,27291186838,2025-09-20T07:54:57.682864,2025-09-29T07:54:57.682864,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,5957.52,0.0,5957.52,2880.83,TELEVENDAS,CONCLUIDA,CARTAO_CREDITO,12,VND021,
7,PED-20251022-000007,80759034800,2025-10-22T01:42:57.682864,2025-10-31T01:42:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,184.97,27.75,157.22,63.91,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND005,LOJA15
8,PED-20250816-000008,92044693151,2025-08-16T12:02:57.682864,2025-08-22T12:02:57.682864,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,6452.48,0.0,6452.48,2796.75,ECOMMERCE,CONCLUIDA,BOLETO,1,VND022,
9,PED-20251023-000009,28740709124,2025-10-23T15:11:57.682864,2025-11-02T15:11:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1483.51,296.7,1186.81,656.13,TELEVENDAS,CONCLUIDA,PIX,1,VND011,
10,PED-20250916-000010,06124115670,2025-09-16T05:59:57.682864,2025-09-23T05:59:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,4743.68,0.0,4743.68,2745.23,ECOMMERCE,CONCLUIDA,PIX,1,VND042,
